"id"
"Erin Krupka"
"Simon Gachter"
"Daniele Nosenzo"
"Erik Kimbrough"
"Uri Gneezy"
"Alex Imas"
"Jeffrey Carpenter"
"Stephen Burks"
"Sthephen Leider"
"Christine L. Exley"
"Muriel Niederle"
"Alain Cohn"
"Michel André Maréchal"
"David Tannenbaum"
"Lata Gangadharan"
"Tarun Jain"
"Pushkar Maitra"
"Leonie Gerhards"
"Giovanna D'Adda"
"Donja Darai"
"Nicola Pavanini"
"Hande Erkut"
"Abigail Barr"
"Tom Lane"
"Stepan Vesely"
"Utteeyo Dasgupta"
"Michal Bauer"
"Jana Cahlíková"
"Julie Chytilová"
"Daphne Chang"
"Eytan Adar"
"Nikos Nikiforakis"
"Jörg Oechssler"
"Klaus Abbink"
"Toby Handfield"
"Michalis Drouvelis"
"Andreas Kappes"
"Anne-Marie Nussberger"
"Nadira Faber"
"Guy Kahane"
"Julian Savulescu"
"Simon Felgendreher"
"Roy Chen"
"Ellen Garbarino"
"Robert Slonim"
"Kay J. Thomsson"
"Michal Krawczyk"
"Joanna Tyrowicz"
"Anna Kukla-Gryz"
"Björn Bartling"
"Gary Bolton"
"Eugen Dimant"
"Giuseppe Attanasi"
"Claire Rimbaud"
"Wojciech Hardy"
"Nives Della Valle"
"Joshua Miller"
"Marco Faillo"
"Matteo Rizzolli"
"Timo Goeschl"
"Sara Elisa Kettner"
"Johannes Lohse"
"Mark Bernard"
"Ernesto Reuben"
"Simon Bartke"
"Steven J. Bosworth"
"Dennis J. Snower"
"Aidin Hajikhameneh"
"Louise Grogan"
"Lasse Loft"
"Stefan Gehrig"
"Dung Ngoc Le"
"Johannes König"
"Levent Neyse"
"Felix Kolle"
"Kathrin Dengler-Roscher"
"Natalia Montinari"
"Marian Panganiban"
"Matteo Ploner"
"Seungjun Ahn"
"Byungjoo Choi"
"Kai Barron"
"Robert Stüber"
"Nils Köbis"
"Marleen Troost"
"Cyril Brandt"
"Arthur Schram"
"Jin Di Zheng"
"Mark Pickup"
"Marius Alt"
"Carlo Gallier"
"Achim Schluter"
"Katherine Nelson"
"Ruth Beer"
"Ignacio Andres Rios"
"Markus Sass"
"Florian Timme"
"Michael Kurschilgen"
"Francesco Fallucchi"
"Leonard Hoeft"
"Wladislaw Mill"
"Christoph Engel"
"Luigi Mittone"
"Eryk Krysowski"
"Hanna Fromell"
"Trudy Owens"
"Ritwik Banerjee"
"Tushi Baul"
"Bachir Kassas"
"J. Jobu Babin"
"Andrew Hussey"
"Alex Nikolsko-Rzhevskyy"
"Peilu Zhang"
"Yinjunjie Zhang"
"Fabio Galeotti"
"Valeria Maggian"
"Kristina Czura"
"Anett John"
"Prasenjit Banerjee"
"Vegard Iversen"
"Sandip Mitra"
"Antonio Nicolò"
"Adam Isen"
"Robert Schmidt"
"Christiane Schwieren"
"Alisa Frik"
"Marleen Dekker"
"Floyd Mwansa"
"Per A. Andersson"
"Arvid Erlandsson"
"Daniel Vastfjall"
"Matthias Lang"
"Blaine Robbins"
"Aaron Kamm"
"Daniel Karell"
"Rustam Romaniuc"
"Dimitri Dubois"
"Adrian Lupusor"
"Iftekhar Hasan"
"Felix Noth"
"Jennifer M. Murray"
"Abhijit Ramalingam"
"Rajnish Kumar"
"Joanna McHugh Power"
"Sharon Sanchez-Franco"
"Olga L. Sarmiento"
"Frank Kee"
"Toke Fosgaard"
"Lars Garn Hansen"
