"from","to"
"Erin Krupka","Roberto Weber"
"Simon Gachter","Daniele Nosenzo"
"Simon Gachter","Martin Sefton"
"Daniele Nosenzo","Martin Sefton"
"Erik Kimbrough","Alexander Vostroknutov"
"Uri Gneezy","Alex Imas"
"Uri Gneezy","Kristóf Madarász"
"Alex Imas","Kristóf Madarász"
"Jeffrey Carpenter","Erik Gong"
"Stephen Burks","Erin Krupka"
"Lata Gangadharan","Tarun Jain"
"Lata Gangadharan","Pushkar Maitra"
"Lata Gangadharan","Joseph Vecci"
"Tarun Jain","Pushkar Maitra"
"Tarun Jain","Joseph Vecci"
"Pushkar Maitra","Joseph Vecci"
"Simon Gachter","Leonie Gerhards"
"Simon Gachter","Daniele Nosenzo"
"Leonie Gerhards","Daniele Nosenzo"
"Giovanna D'Adda","Donja Darai"
"Giovanna D'Adda","Nicola Pavanini"
"Giovanna D'Adda","Roberto Weber"
"Donja Darai","Nicola Pavanini"
"Donja Darai","Roberto Weber"
"Nicola Pavanini","Roberto Weber"
"Hande Erkut","Daniele Nosenzo"
"Hande Erkut","Martin Sefton"
"Daniele Nosenzo","Martin Sefton"
"Abigail Barr","Tom Lane"
"Abigail Barr","Daniele Nosenzo"
"Tom Lane","Daniele Nosenzo"
"Stepan Vesely","Christian Klöckner"
"Utteeyo Dasgupta","Subha Mani"
"Michal Bauer","Jana Cahlíková"
"Michal Bauer","Julie Chytilová"
"Michal Bauer","Tomáš Želinský"
"Jana Cahlíková","Julie Chytilová"
"Jana Cahlíková","Tomáš Želinský"
"Julie Chytilová","Tomáš Želinský"
"Daphne Chang","Erin Krupka"
"Daphne Chang","Eytan Adar"
"Daphne Chang","Alessandro Acquisti"
"Erin Krupka","Eytan Adar"
"Erin Krupka","Alessandro Acquisti"
"Eytan Adar","Alessandro Acquisti"
"Nikos Nikiforakis","Jörg Oechssler"
"Nikos Nikiforakis","Anwar Shah"
"Jörg Oechssler","Anwar Shah"
"Klaus Abbink","Lata Gangadharan"
"Klaus Abbink","Toby Handfield"
"Klaus Abbink","John Thrasher"
"Lata Gangadharan","Toby Handfield"
"Lata Gangadharan","John Thrasher"
"Toby Handfield","John Thrasher"
"Giovanna D'Adda","Michalis Drouvelis"
"Giovanna D'Adda","Daniele Nosenzo"
"Michalis Drouvelis","Daniele Nosenzo"
"Andreas Kappes","Anne-Marie Nussberger"
"Andreas Kappes","Nadira Faber"
"Andreas Kappes","Guy Kahane"
"Andreas Kappes","Julian Savulescu"
"Andreas Kappes","Molly Crockett"
"Anne-Marie Nussberger","Nadira Faber"
"Anne-Marie Nussberger","Guy Kahane"
"Anne-Marie Nussberger","Julian Savulescu"
"Anne-Marie Nussberger","Molly Crockett"
"Nadira Faber","Guy Kahane"
"Nadira Faber","Julian Savulescu"
"Nadira Faber","Molly Crockett"
"Guy Kahane","Julian Savulescu"
"Guy Kahane","Molly Crockett"
"Julian Savulescu","Molly Crockett"
"Simon Felgendreher","Åsa Löfgren"
"Kay J. Thomsson","Alexander Vostroknutov"
"Michal Krawczyk","Joanna Tyrowicz"
"Michal Krawczyk","Anna Kukla-Gryz"
"Michal Krawczyk","Wojciech Hardy"
"Joanna Tyrowicz","Anna Kukla-Gryz"
"Joanna Tyrowicz","Wojciech Hardy"
"Anna Kukla-Gryz","Wojciech Hardy"
"Björn Bartling","Yagiz Özdemir"
"Christine L. Exley","Judd Kessler"
"Wojciech Hardy","Michal Krawczyk"
"Wojciech Hardy","Joanna Tyrowicz"
"Michal Krawczyk","Joanna Tyrowicz"
"Nives Della Valle","Matteo Ploner"
"Erik Kimbrough","Alexander Vostroknutov"
"Erik Kimbrough","Joshua Miller"
"Erik Kimbrough","Alexander Vostroknutov"
"Joshua Miller","Alexander Vostroknutov"
"Timo Goeschl","Sara Elisa Kettner"
"Timo Goeschl","Johannes Lohse"
"Timo Goeschl","Christiane Schwieren"
"Sara Elisa Kettner","Johannes Lohse"
"Sara Elisa Kettner","Christiane Schwieren"
"Johannes Lohse","Christiane Schwieren"
"Mark Bernard","Ernesto Reuben"
"Mark Bernard","Arno Riedl"
"Ernesto Reuben","Arno Riedl"
"Simon Bartke","Steven J. Bosworth"
"Simon Bartke","Dennis J. Snower"
"Simon Bartke","Gabriele Chierchia"
